127.0.0.1 - - [19/Mar/2022:22:02:09 +0900] "GET / HTTP/1.1" 404 807
192.168.1.3 - - [19/Mar/2022:22:02:39 +0900] "GET /myapp HTTP/1.1" 302 -
192.168.1.3 - - [19/Mar/2022:22:02:40 +0900] "GET /myapp/ HTTP/1.1" 200 2310
192.168.1.3 - - [19/Mar/2022:22:02:40 +0900] "GET /myapp/jquery-ui/jquery-ui.min.css HTTP/1.1" 404 721
192.168.1.3 - - [19/Mar/2022:22:02:40 +0900] "GET /myapp/fullcalendar/main.js HTTP/1.1" 404 721
192.168.1.3 - - [19/Mar/2022:22:02:40 +0900] "GET /myapp/fullcalendar/main.css HTTP/1.1" 404 721
192.168.1.3 - - [19/Mar/2022:22:02:40 +0900] "GET /myapp/jquery-ui/jquery-ui.min.js HTTP/1.1" 404 721
192.168.1.3 - - [19/Mar/2022:22:02:40 +0900] "GET /myapp/css/base.css HTTP/1.1" 200 59
192.168.1.3 - - [19/Mar/2022:22:02:40 +0900] "GET /myapp/css/header.css HTTP/1.1" 200 347
192.168.1.3 - - [19/Mar/2022:22:02:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.1.3 - - [19/Mar/2022:22:03:02 +0900] "GET /myapp/ HTTP/1.1" 200 2344
192.168.1.3 - - [19/Mar/2022:22:03:02 +0900] "GET /myapp/jquery-ui/jquery-ui.min.js HTTP/1.1" 404 721
192.168.1.3 - - [19/Mar/2022:22:03:02 +0900] "GET /myapp/jquery-ui/jquery-ui.min.css HTTP/1.1" 404 721
192.168.1.3 - - [19/Mar/2022:22:03:02 +0900] "GET /myapp/fullcalendar/main.css HTTP/1.1" 404 721
192.168.1.3 - - [19/Mar/2022:22:03:02 +0900] "GET /myapp/fullcalendar/main.js HTTP/1.1" 404 721
192.168.1.3 - - [19/Mar/2022:22:03:13 +0900] "GET /myapp/ HTTP/1.1" 200 2313
192.168.1.3 - - [19/Mar/2022:22:03:14 +0900] "GET /myapp/jquery-ui/jquery-ui.min.js HTTP/1.1" 404 721
192.168.1.3 - - [19/Mar/2022:22:03:14 +0900] "GET /myapp/fullcalendar/main.css HTTP/1.1" 404 721
192.168.1.3 - - [19/Mar/2022:22:03:14 +0900] "GET /myapp/fullcalendar/main.js HTTP/1.1" 404 721
192.168.1.3 - - [19/Mar/2022:22:03:14 +0900] "GET /myapp/jquery-ui/jquery-ui.min.css HTTP/1.1" 404 721
